name,score,Native,Romaji,English,Hashtag,Season,Favorites,Popularity,Genres,Tags,Status Distribution,Prequel,Sequel,addictive,indecisive,forgettable,NoLoved,excelent,loved,choosed,Violence,Cliche,Action,Adventure,Comedy,Ecchi,Harem,Drama,Mystery,Romance,Fantasy,Mahou Shoujo,Magic,Horror,Sci-Fi,Mecha,Supernatural,Historical,Military,Politics,Isekai,Slice of Life,School life,Sports,Arts,Cute,Music,idol,Psychological,Spokon,Protagonist,Female Protagonist,Male Protagonist,Ensemble Cast,Shounen,Shoujo,Seinen,Josei,Worldbuilding,Iyashikei
Utawarerumono: Futari no Hakuoro,71,うたわれるもの 二人の白皇,Utawarerumono: Futari no Hakuoro,Utawarerumono Mask of Truth,#うたわれ,Summer 2022,148,7268,"Action, Drama, Fantasy, Sci-Fi","War, 96%, Kemonomimi, 55%, Politics, 46%, Religion, 20%, Travel, 20%, ""Boys Love"", 13%, Show 8 spoiler tags","['Planning', '4513', 'Users', 'Current', '1226', 'Users', 'Completed', '1037', 'Users', 'Dropped', '301', 'Users']",True,False,3.45,4.35,0.29,3486.68,10508,1.45,4.64,,0.23,2.1,0.08,,,,2.1,,0.05,2.1,,,,2.1,,,,0.4,0.28,,,,,,,,,0.19,,,,,,,,,,,
Yurei Deco,58,ユーレイデコ,Yurei Deco,YUREI DECO,#ユーレイデコ #YUREIDECO,Summer 2022,36,5908,"Mystery, Sci-Fi","Female Protagonist, 90%, Augmented Reality, 83%, Artificial Intelligence, 70%, Satire, 68%, Detective, 66%, Cyberpunk, 60%, Found Family, 40%, Show 3 spoiler tags","['Planning', '2122', 'Users', 'Completed', '1687', 'Users', 'Dropped', '1076', 'Users', 'Current', '766', 'Users']",False,False,1.57,1.26,0.64,9518.44,2088,0.35,0.85,,,,,0.05,,,,0.46,,,,,,0.56,,,,,,,0.03,,,,,,,,,0.07,0.07,,,,,,,,
Renmei Kuugun Koukuu Mahou Ongakutai: Luminous Witches,62,連盟空軍航空魔法音楽隊ルミナスウィッチーズ,Renmei Kuugun Koukuu Mahou Ongakutai: Luminous Witches,League of Nations Air Force Aviation Magic Band Luminous Witches,#L_witch,Summer 2022,88,5900,Music,"Idol, 82%, Kemonomimi, 80%, Primarily Female Cast, 79%, Cute Girls Doing Cute Things, 79%, Witch, 70%, Magic, 68%, Ensemble Cast, 60%, Aviation, 53%, Female Protagonist, 50%, CGI, 45%, Politics, 33%","['Planning', '3208', 'Users', 'Completed', '1227', 'Users', 'Current', '694', 'Users', 'Dropped', '598', 'Users']",False,False,2.05,2.61,0.49,4156.82,5456,0.92,2.84,,0.18,,,,,,,,,0.3,,0.15,,,,,,,0.07,,,,,,0.35,1.09,0.18,0.07,,0.24,0.11,,0.13,,,,,,
Teppen!!!!!!!!!!!!!!!,63,てっぺんっ!!!!!!!!!!!!!!!,Teppen!!!!!!!!!!!!!!!,"""TEPPEN!!!!!!!!!!!!!!! Laughing til You Cry""",#アニメてっぺんっ,Summer 2022,63,5635,"Comedy, Slice of Life","Cute Girls Doing Cute Things, 92%, Primarily Female Cast, 90%, Surreal Comedy, 84%, Primarily Teen Cast, 72%, Ensemble Cast, 70%, Aliens, 60%, Rakugo, 30%, Show 1 spoiler tags","['Planning', '2039', 'Users', 'Completed', '1627', 'Users', 'Dropped', '860', 'Users', 'Current', '858', 'Users']",False,False,1.89,1.25,0.53,5635.0,3969,0.7,1.6,,,,,1.25,,,,,,,,,,,,,,,,,0.86,,,0.05,0.31,,,,,0.12,,,0.12,,,,,,
SHINE POST,72,シャインポスト,SHINE POST,SHINEPOST,#シャインポスト,Summer 2022,121,5616,"Music, Supernatural","Idol, 94%, Primarily Female Cast, 80%, Primarily Teen Cast, 72%, Cute Girls Doing Cute Things, 56%, Super Power, 20%","['Planning', '2584', 'Users', 'Completed', '1831', 'Users', 'Current', '768', 'Users', 'Dropped', '282', 'Users']",False,False,6.49,1.41,0.15,3341.75,8712,1.55,3.35,,,0.09,,,,,,,,,,,,,,2.48,,,,,,,,,0.63,2.3,0.43,,,,,,,,,,,,
Kami Kuzu☆Idol,65,神クズ☆アイドル,Kami Kuzu☆Idol,Phantom of the Idol,#神クズアイドル,Summer 2022,52,5333,"Comedy, Supernatural","Idol, 94%, Primarily Male Cast, 80%, Primarily Adult Cast, 79%, Josei, 60%, Urban, 60%, Afterlife, 53%, Acting, 40%, Show 3 spoiler tags","['Planning', '2006', 'Users', 'Completed', '1879', 'Users', 'Current', '715', 'Users', 'Dropped', '541', 'Users']",False,False,3.47,1.07,0.29,6666.25,3380,0.63,1.3,,,,,0.81,,,,,,,,,,,,0.81,,,0.1,,,,,0.07,,,0.15,,,,,,,,,,0.1,,
Extreme Hearts,61,Extreme Hearts,Extreme Hearts,Extreme Hearts,#エクハ #ExH,Summer 2022,49,3642,"Music, Sports","Primarily Female Cast, 86%, Idol, 80%, Female Protagonist, 79%, Basketball, 76%, Football, 76%, Baseball, 76%, Rugby, 70%, Volleyball, 70%, Badminton, 60%, Robots, 60%, Tennis, 60%, Lacrosse, 60%, Handball, 60%","['Planning', '1322', 'Users', 'Completed', '1191', 'Users', 'Dropped', '525', 'Users', 'Current', '489', 'Users']",False,False,2.27,1.11,0.44,4533.92,2989,0.82,1.78,,,,,,,,,,,,,,,,,,,,,,,,1.95,,0.16,0.94,0.15,,,0.15,0.15,,,,,,,,
Shoot! Goal to the Future,48,シュート！Goal to the Future,Shoot! Goal to the Future,Shoot! Goal to the Future,#シュートアニメ #shootanime,Summer 2022,39,3507,Sports,"Football, 86%, Male Protagonist, 75%, Primarily Male Cast, 68%, ""Boys Love"", 60%, LGBTQ+ Themes, 30%","['Planning', '1342', 'Users', 'Completed', '927', 'Users', 'Dropped', '649', 'Users', 'Current', '487', 'Users']",True,False,1.43,1.45,0.7,4316.31,1872,0.53,1.32,,,,,,,,,,0.04,,,,,,,,,,,,,,0.4,,,,,,,0.04,,0.04,,,,,,,
Shin Tennis no Ouji-sama: U-17 WORLD CUP,64,新テニスの王子様 U-17 WORLD CUP,Shin Tennis no Ouji-sama: U-17 WORLD CUP,The Prince of Tennis II: U-17 World Cup,新テニU17W杯 #テニプリ #テニプリ20th,Summer 2022,59,2568,"Action, Comedy, Sports","Male Protagonist, 73%, Tennis, 60%, Shounen, 20%","['Planning', '1070', 'Users', 'Completed', '813', 'Users', 'Current', '498', 'Users', 'Dropped', '122', 'Users']",True,True,6.66,1.32,0.15,2785.63,3776,1.47,2.88,,,1.84,,1.84,,,,,,,,,,,,,,,,,,,2.28,,,,,,,0.27,,0.27,,0.07,,,,,
Chainsaw Man,86,チェンソーマン,Chainsaw Man,Chainsaw Man,#チェンソーマン #chainsawman,Fall 2022,17948,252299,"Action, Comedy, Drama, Horror, Supernatural","Demons, 96%, Monster Boy, 96%, Urban Fantasy, 94%, Male Protagonist, 90%, Gore, 88%, Tragedy, 86%, Body Horror, 85%, Urban, 82%, Henshin, 77%, Heterosexual, 74%, Primarily Adult Cast, 72%, Monster Girl, 72%, Shounen, 70%, Surreal Comedy, 68%, Rotoscoping, 64%, POV, 60%, CGI, 58%, Tokusatsu, 50%, Trains, 46%, Show 10 spoiler tags","['Completed', '101861', 'Users', 'Current', '75360', 'Users', 'Planning', '70705', 'Users', 'Paused', '2288', 'Users']",False,False,0.0,0.69,0.0,1208.92,1543528,6.12,8.71,1.92,,14.75,1.0,13.87,,,10.91,,1.61,8.46,,,14.62,,,15.1,,,1.79,,,,,,,,,,,1.96,,1.96,,1.53,,,,,
SPY×FAMILY Part 2,84,SPY×FAMILY 2クール,SPY×FAMILY Part 2,SPY x FAMILY Cour 2,#SPY_FAMILY #スパイファミリー,Fall 2022,5470,155985,"Action, Comedy, Slice of Life, Supernatural","Family Life, 97%, Espionage, 91%, Found Family, 90%, Assassins, 78%, Foreign, 77%, Male Protagonist, 75%, Female Protagonist, 75%, Adoption, 75%, School, 72%, Super Power, 66%, Shounen, 64%, Animals, 51%, Tsundere, 50%, Orphan, 45%, Ojou-sama, 20%, Show 4 spoiler tags","['Completed', '60663', 'Users', 'Current', '50128', 'Users', 'Planning', '41240', 'Users', 'Paused', '2544', 'Users']",True,True,0.0,0.68,0.0,2395.38,459480,2.95,4.15,,0.51,6.5,,5.14,,,1.23,,,,,,,,,6.5,,0.8,,,8.99,0.74,,,,,,,,1.54,0.77,0.77,,0.66,,,,,
Blue Lock,80,ブルーロック,Blue Lock,BLUELOCK,#ブルーロック,Fall 2022,4680,117387,"Action, Drama, Sports","Football, 98%, Male Protagonist, 91%, Athletics, 91%, Battle Royale, 90%, Shounen, 89%, Primarily Male Cast, 88%, Ensemble Cast, 84%, Primarily Teen Cast, 83%, CGI, 52%, Tragedy, 45%, Show 1 spoiler tags","['Current', '76581', 'Users', 'Planning', '34381', 'Users', 'Dropped', '2555', 'Users', 'Paused', '2027', 'Users']",False,False,0.0,0.0,0.0,2006.62,374400,3.19,0.0,,,7.23,,,,,5.32,,,,,,,,,,,,,,,,9.33,,,,,,,1.86,,0.97,0.89,0.95,,,,,
Mob Psycho 100 III,87,モブサイコ100 Ⅲ,Mob Psycho 100 III,Mob Psycho 100 III,#モブサイコ100 #mobpsycho100,Fall 2022,5202,115013,"Action, Comedy, Psychological, Slice of Life, Supernatural","Coming of Age, 92%, Super Power, 86%, Philosophy, 86%, Urban Fantasy, 85%, Ghost, 77%, Satire, 76%, Shounen, 75%, Male Protagonist, 74%, School, 65%, Parody, 64%, Urban, 62%, Primarily Male Cast, 62%, School Club, 62%, Primarily Teen Cast, 55%, Rural, 31%, Show 4 spoiler tags","['Completed', '44142', 'Users', 'Planning', '41313', 'Users', 'Current', '27731', 'Users', 'Paused', '1326', 'Users']",True,False,0.0,0.94,0.0,1923.52,452574,3.93,6.3,,,9.52,,11.05,,,1.3,,,2.3,,,,,,10.61,,,1.66,,7.09,0.92,,,,,,9.52,0.88,1.05,,1.05,,1.06,,,,,
Boku no Hero Academia 6,81,僕のヒーローアカデミア６,Boku no Hero Academia 6,My Hero Academia Season 6,#heroaca_a,Fall 2022,3274,105110,"Action, Adventure, Comedy","Super Power, 93%, Male Protagonist, 85%, Shounen, 82%, Villainess, 75%, Anti-Hero, 72%, Ensemble Cast, 68%, Heterosexual, 63%, Conspiracy, 62%, CGI, 44%, Show 5 spoiler tags","['Current', '63690', 'Users', 'Planning', '36624', 'Users', 'Completed', '2130', 'Users', 'Paused', '1613', 'Users']",True,False,0.0,17.19,0.0,2600.46,265194,2.52,4.03,,,5.84,4.26,4.26,,,,,0.54,,,,,,,0.79,,,,,,,,,,,,,,1.3,,0.72,0.58,0.7,,,,,
BLEACH: Sennen Kessen-hen,89,BLEACH 千年血戦篇,BLEACH: Sennen Kessen-hen,BLEACH: Thousand-Year Blood War,#BLEACH_anime #BLEACHTYBW,Fall 2022,5950,81882,"Action, Adventure, Supernatural","War, 95%, Swordplay, 92%, Shounen, 91%, Super Power, 90%, Male Protagonist, 82%, Gore, 75%, Afterlife, 75%, Body Horror, 69%, Urban Fantasy, 66%, Ghost, 57%, Mythology, 57%, Religion, 56%, Cultivation, 56%, Tomboy, 37%, CGI, 30%, Terrorism, 30%, Show 5 spoiler tags","['Planning', '32754', 'Users', 'Completed', '27289', 'Users', 'Current', '20549', 'Users', 'Paused', '855', 'Users']",True,True,0.0,1.2,0.0,1224.79,529550,6.47,11.07,1.78,0.88,24.07,11.87,,,,,,,6.09,,,1.64,,,17.04,,2.26,2.04,,,,,,,,,,,1.95,,1.95,,2.16,,,,,
Kage no Jitsuryokusha ni Naritakute!,77,陰の実力者になりたくて！,Kage no Jitsuryokusha ni Naritakute!,The Eminence in Shadow,#陰の実力者,Fall 2022,3565,78169,"Action, Comedy, Fantasy","Isekai, 95%, Chuunibyou, 94%, Parody, 91%, Male Protagonist, 88%, Anti-Hero, 88%, Magic, 86%, Cult, 86%, Reincarnation, 82%, Swordplay, 81%, Primarily Female Cast, 77%, Feet, 73%, Female Harem, 73%, Meta, 71%, Espionage, 69%, Elf, 69%, School, 68%, Heterosexual, 62%, Vampire, 60%, Kemonomimi, 60%, Yandere, 48%, Suicide, 46%, Nudity, 44%, Trains, 33%, CGI, 24%, Show 1 spoiler tags","['Current', '49269', 'Users', 'Planning', '24927', 'Users', 'Dropped', '2138', 'Users', 'Paused', '1057', 'Users']",False,False,0.0,0.0,0.0,1688.36,274505,3.51,0.0,,1.57,7.45,0.37,7.67,0.49,0.82,0.52,,0.7,12.28,,0.97,,,,,,,0.97,1.07,,0.76,,,0.87,,,0.97,,0.99,,0.99,,,,,,,
Bocchi the Rock!,88,ぼっち・ざ・ろっく！,Bocchi the Rock!,BOCCHI THE ROCK!,#ぼっち・ざ・ろっく,Fall 2022,8367,70931,"Comedy, Music, Slice of Life","Band, 98%, Female Protagonist, 94%, Primarily Female Cast, 93%, Primarily Teen Cast, 92%, Coming of Age, 88%, Cute Girls Doing Cute Things, 86%, Hikikomori, 86%, Rehabilitation, 84%, Slapstick, 80%, Surreal Comedy, 79%, Seinen, 70%, Meta, 64%, Parody, 56%, Work, 54%, School, 52%, Yuri, 50%, Chibi, 35%, Show 2 spoiler tags","['Completed', '37580', 'Users', 'Planning', '18205', 'Users', 'Current', '14071', 'Users', 'Dropped', '579', 'Users']",False,False,64.91,0.48,0.02,746.02,736296,10.38,14.26,,,,,35.1,,,4.91,,1.89,,,,,,,,,,,,22.95,1.96,,,8.08,26.27,,,,3.55,3.55,,,,,2.64,,,
Fumetsu no Anata e Season 2,77,不滅のあなたへ Season 2,Fumetsu no Anata e Season 2,To Your Eternity Season 2,#不滅のあなたへ #ToYourEternity,Fall 2022,753,51466,"Adventure, Drama, Fantasy, Psychological, Supernatural","Shapeshifting, 96%, Cult, 86%, Ghost, 85%, Philosophy, 82%, Religion, 82%, Ensemble Cast, 77%, Body Horror, 65%, Agender, 60%, Shounen, 52%, Animals, 52%, Historical, 46%, Gore, 33%, Show 4 spoiler tags","['Planning', '27454', 'Users', 'Current', '21790', 'Users', 'Paused', '983', 'Users', 'Dropped', '823', 'Users']",True,False,0.0,0.0,0.0,5262.79,57981,1.13,0.0,0.12,,0.12,1.8,,,,1.8,,,3.54,,,0.23,,,2.42,0.17,,0.7,,,,,,,,,2.72,,0.28,,,0.28,0.19,,,,,
Tensei Shitara Ken Deshita,74,転生したら剣でした,Tensei Shitara Ken Deshita,Reincarnated as a Sword,#転生したら剣でした #転剣,Fall 2022,1626,45749,"Action, Adventure, Fantasy","Orphan, 94%, Reincarnation, 91%, Nekomimi, 90%, Swordplay, 90%, Isekai, 88%, Found Family, 88%, Female Protagonist, 82%, Magic, 81%, Gore, 67%, Food, 61%, Dungeon, 60%, Cute Girls Doing Cute Things, 60%, Slavery, 55%, Goblin, 36%, Show 1 spoiler tags","['Completed', '20287', 'Users', 'Planning', '13063', 'Users', 'Current', '10082', 'Users', 'Dropped', '1621', 'Users']",False,True,12.52,0.64,0.08,2082.06,120324,2.63,3.96,0.54,,6.56,4.03,,,,0.76,,,8.81,,0.65,,,,,,,0.44,0.71,0.71,,,,0.97,,,,,0.66,0.66,,,,,,,,
"Fuufu Ijou, Koibito Miman.",75,夫婦以上、恋人未満。,"Fuufu Ijou, Koibito Miman.","More than a Married Couple, but Not Lovers.",#ふうこいアニメ,Fall 2022,1877,45741,"Comedy, Drama, Ecchi, Romance","Heterosexual, 93%, Tsundere, 89%, Love Triangle, 89%, Gyaru, 85%, School, 83%, Shounen, 76%, Primarily Teen Cast, 73%, Coming of Age, 67%, Nudity, 53%, Female Harem, 10%, Show 7 spoiler tags","['Completed', '20886', 'Users', 'Planning', '12911', 'Users', 'Current', '9925', 'Users', 'Dropped', '1420', 'Users']",False,False,14.71,0.62,0.07,1827.69,140775,3.08,4.57,,1.26,,,4.79,5.8,0.1,6.07,,8.27,,,,,,,,,,,,,0.79,,,,,,,,,,,,0.73,,,,,
Urusei Yatsura (2022),71,うる星やつら (2022),Urusei Yatsura (2022),Urusei Yatsura (2022),#うる星やつら,Fall 2022,733,39188,"Comedy, Romance, Sci-Fi, Supernatural","Slapstick, 88%, Love Triangle, 81%, Aliens, 80%, Heterosexual, 80%, Episodic, 78%, Male Protagonist, 76%, Urban Fantasy, 62%, Parody, 60%, Super Power, 60%, Shounen, 57%, Youkai, 52%, Shrine Maiden, 46%, Nudity, 43%, Meta, 33%, Tennis, 16%, Show 1 spoiler tags","['Planning', '17673', 'Users', 'Current', '17588', 'Users', 'Dropped', '2367', 'Users', 'Paused', '1354', 'Users']",False,True,0.0,0.0,0.0,3795.84,52043,1.33,0.0,,,0.23,,3.08,0.17,,,,3.18,0.44,,,,1.93,,2.4,,,,,,,0.06,,,,,,,0.29,,0.29,,0.22,,,,,
Uzaki-chan wa Asobitai! ω,71,宇崎ちゃんは遊びたい！ω（だぶる）,Uzaki-chan wa Asobitai! ω,Uzaki-chan Wants to Hang Out! Season 2,#宇崎ちゃん,Fall 2022,803,36320,"Comedy, Ecchi, Romance, Slice of Life","Large Breasts, 90%, Slapstick, 85%, Primarily Adult Cast, 80%, Tomboy, 80%, Female Protagonist, 78%, Male Protagonist, 76%, College, 73%, Seinen, 53%, Fitness, 46%, Video Games, 44%, Bullying, 41%, Episodic, 28%, Meta, 25%","['Planning', '17809', 'Users', 'Completed', '10794', 'Users', 'Current', '6415', 'Users', 'Dropped', '765', 'Users']",True,False,14.11,1.65,0.07,3211.36,57013,1.57,3.31,,0.37,,,3.06,2.28,,0.19,,2.28,,,,,,,,,,,,2.28,,0.21,,,,,,,0.7,0.36,0.35,,,,0.24,,,
Shinobi no Ittoki,60,忍の一時,Shinobi no Ittoki,Shinobi no Ittoki,#忍の一時,Fall 2022,674,33273,Action,"Ninja, 80%, Coming of Age, 79%, Primarily Teen Cast, 79%, Primarily Adult Cast, 79%, Male Protagonist, 69%, Urban, 65%, War, 60%, Parkour, 50%, School, 48%, Show 6 spoiler tags","['Planning', '11380', 'Users', 'Completed', '8956', 'Users', 'Current', '8261', 'Users', 'Dropped', '3839', 'Users']",False,False,2.33,1.27,0.43,2961.99,40440,1.22,2.35,,,1.35,,,,,0.21,,,,,,,,,,,0.16,0.18,,,0.13,0.14,,,,,,,0.19,,0.19,,,,,,,
Mairimashita! Iruma-kun 3,78,魔入りました！入間くん 第3シリーズ,Mairimashita! Iruma-kun 3,Welcome to Demon School! Iruma-kun Season 3,#魔入りました入間くん,Fall 2022,963,30368,"Comedy, Fantasy, Supernatural","Demons, 93%, School, 90%, Primarily Teen Cast, 88%, Magic, 86%, Isekai, 81%, Found Family, 80%, Monster Boy, 79%, Monster Girl, 79%, Cultivation, 79%, Archery, 78%, Ensemble Cast, 73%, Male Protagonist, 67%, School Club, 60%, Shounen, 60%, Video Games, 55%, Succubus, 55%, Butler, 50%, Idol, 50%, Show 3 spoiler tags","['Current', '16477', 'Users', 'Planning', '12717', 'Users', 'Paused', '482', 'Users', 'Completed', '407', 'Users']",True,False,0.0,31.25,0.0,2459.71,75114,2.47,4.45,,,,,4.02,,,,,,10.1,,0.69,,,,5.51,,,,0.65,0.64,0.72,,,,,0.4,,0.48,1.12,,0.54,0.59,0.48,,,,,
"Yuusha Party wo Tsuihou Sareta Beast Tamer, Saikyoushu no Nekomimi Shoujo to Deau",69,勇者パーティーを追放されたビーストテイマー、最強種の猫耳少女と出会う,"Yuusha Party wo Tsuihou Sareta Beast Tamer, Saikyoushu no Nekomimi Shoujo to Deau",Beast Tamer,#ビステマ,Fall 2022,987,28104,"Adventure, Fantasy","Found Family, 90%, Kemonomimi, 90%, Monster Girl, 88%, Female Harem, 86%, Primarily Female Cast, 86%, Heterosexual, 77%, Male Protagonist, 75%, Dragons, 55%, Nekomimi, 55%, Urban Fantasy, 50%, Animals, 50%, Twins, 46%, Magic, 40%, Orphan, 40%, Witch, 30%, Chibi, 26%, Travel, 20%, Tsundere, 20%, CGI, 13%, Show 2 spoiler tags","['Completed', '13466', 'Users', 'Current', '6696', 'Users', 'Planning', '6371', 'Users', 'Dropped', '1221', 'Users']",False,False,11.03,0.47,0.09,1964.72,68103,2.42,3.38,,0.75,,3.67,,,0.58,0.27,,0.52,6.4,,0.27,,,,,,,,,0.61,,,,0.8,,,,,0.51,,0.51,,,,,,,
Kidou Senshi Gundam: Suisei no Majo,79,機動戦士ガンダム 水星の魔女,Kidou Senshi Gundam: Suisei no Majo,Mobile Suit Gundam: The Witch from Mercury,#水星の魔女 #G_Witch,Fall 2022,904,27891,"Mecha, Sci-Fi","Real Robot, 93%, Female Protagonist, 92%, Space, 88%, Primarily Teen Cast, 87%, Politics, 86%, School, 84%, Super Robot, 82%, Conspiracy, 74%, LGBTQ+ Themes, 71%, Guns, 60%, Witch, 56%, Cyberpunk, 55%, Bullying, 47%, Show 9 spoiler tags","['Completed', '10749', 'Users', 'Current', '8355', 'Users', 'Planning', '7748', 'Users', 'Dropped', '618', 'Users']",True,True,17.39,0.72,0.06,2437.38,71416,2.56,3.74,,,0.51,,,,,0.4,,,0.47,,,,9.57,6.47,,,0.51,0.72,,,0.71,,,,,,0.72,,0.78,0.78,,,,,,,,
Akuyaku Reijou nano de Last Boss wo Kattemimashita,71,悪役令嬢なのでラスボスを飼ってみました,Akuyaku Reijou nano de Last Boss wo Kattemimashita,"""Im the Villainess, So Im Taming the Final Boss""",#悪ラス,Fall 2022,770,27418,"Comedy, Fantasy, Romance, Supernatural","Heterosexual, 94%, Villainess, 92%, Shoujo, 88%, Female Protagonist, 87%, Demons, 87%, Isekai, 83%, Reincarnation, 82%, Ojou-sama, 80%, Magic, 76%, Conspiracy, 64%, School, 62%, Animals, 60%, Primarily Teen Cast, 60%, Fairy Tale, 60%, Swordplay, 56%, Medicine, 40%, LGBTQ+ Themes, 40%, Kuudere, 40%, Dragons, 38%, Bullying, 36%, Anti-Hero, 20%, Show 3 spoiler tags","['Completed', '11197', 'Users', 'Planning', '7946', 'Users', 'Current', '6173', 'Users', 'Dropped', '1508', 'Users']",False,False,7.43,0.71,0.13,2528.15,54670,1.99,3.15,,0.23,0.33,,2.9,,,0.21,,3.99,6.58,,0.44,,,,3.91,,,,0.48,,0.36,,,,,,,,0.5,0.5,,,,0.51,,,,
Do It Yourself!!,75,Do It Yourself!! -どぅー・いっと・ゆあせるふ-,Do It Yourself!!,Do It Yourself!!,#diyアニメ,Fall 2022,564,26242,"Comedy, Slice of Life","School Club, 95%, Cute Girls Doing Cute Things, 94%, Iyashikei, 92%, Female Protagonist, 91%, Primarily Female Cast, 86%, Primarily Teen Cast, 80%, Tsundere, 70%, Educational, 66%, Tomboy, 53%, Slapstick, 46%, LGBTQ+ Themes, 20%","['Planning', '10250', 'Users', 'Completed', '8669', 'Users', 'Current', '5610', 'Users', 'Dropped', '1125', 'Users']",False,False,7.71,1.18,0.13,3489.63,42300,1.61,2.96,,0.62,,,2.97,,,,,,,,,,,,,,,,,3.43,,,,0.9,,,,0.48,0.46,0.46,,,,,,,,0.46
Renai Flops,65,恋愛フロップス,Renai Flops,LOVE FLOPS,#恋愛フロップス,Fall 2022,673,22358,"Comedy, Ecchi, Romance, Sci-Fi","Female Harem, 94%, Heterosexual, 93%, Primarily Female Cast, 92%, Surreal Comedy, 79%, Parody, 78%, Male Protagonist, 77%, Primarily Teen Cast, 60%, Age Gap, 45%, Magic, 40%, Teacher, 20%, Show 14 spoiler tags","['Planning', '8184', 'Users', 'Completed', '6493', 'Users', 'Current', '5637', 'Users', 'Dropped', '1605', 'Users']",False,False,4.05,1.26,0.25,2159.39,43745,1.96,3.61,,,,,4.08,2.51,0.47,,,3.89,0.2,,0.2,,2.51,,,,,,,,,,,0.46,,,,,0.39,,0.39,,,,,,,
Noumin Kanren no Skill Bakka Agetetara Naze ka Tsuyoku Natta.,57,農民関連のスキルばっか上げてたら何故か強くなった。,Noumin Kanren no Skill Bakka Agetetara Naze ka Tsuyoku Natta.,"""Ive Somehow Gotten Stronger When I Improved My Farm-Related Skills""",#農民関連,Fall 2022,607,21343,"Adventure, Comedy, Fantasy, Slice of Life","Male Protagonist, 83%, CGI, 75%, Super Power, 63%, Demons, 60%, Dragons, 57%, Female Harem, 54%, Agriculture, 51%, Parody, 40%, Show 3 spoiler tags","['Completed', '7009', 'Users', 'Planning', '6116', 'Users', 'Current', '5535', 'Users', 'Dropped', '2285', 'Users']",False,False,3.07,0.87,0.33,2004.2,34599,1.62,2.76,,,0.2,1.61,1.87,,0.17,,,,2.18,,,,,,0.4,,,,,1.94,,,,,,,,,0.27,,0.27,,,,,,,
Arknights: Reimei Zensou,71,アークナイツ 黎明前奏,Arknights: Reimei Zensou,Arknights: PRELUDE TO DAWN,#アークナイツ #黎明前奏 #Arknights #PreludetoDawn,Fall 2022,537,21089,"Action, Fantasy","Tragedy, 99%, Pandemic, 94%, Terrorism, 94%, War, 90%, Amnesia, 87%, Dystopian, 85%, Urban, 84%, Super Power, 82%, Kemonomimi, 77%, Magic, 74%, Medicine, 73%, Guns, 60%, Show 5 spoiler tags","['Planning', '8411', 'Users', 'Completed', '6057', 'Users', 'Current', '5107', 'Users', 'Dropped', '1012', 'Users']",False,True,5.99,1.39,0.17,2788.3,38127,1.81,3.42,,0.41,4.13,,,,,0.45,0.46,,3.41,,0.39,,,,0.43,,0.63,1.38,,,,,,,,,,,,,,,,,,,0.45,
Koukyuu no Karasu,71,後宮の烏,Koukyuu no Karasu,Raven of the Inner Palace,#後宮の烏,Fall 2022,328,16777,Mystery,"Female Protagonist, 100%, Foreign, 96%, Historical, 95%, Primarily Adult Cast, 90%, Detective, 88%, Magic, 77%, Mythology, 74%, Episodic, 74%, Ghost, 73%, Shoujo, 72%, Kuudere, 70%, Necromancy, 70%, Heterosexual, 63%, Tsundere, 62%, Ojou-sama, 60%, Politics, 60%, Body Horror, 60%, Maids, 56%, Orphan, 56%, Show 3 spoiler tags","['Planning', '6881', 'Users', 'Completed', '4804', 'Users', 'Current', '3460', 'Users', 'Dropped', '1181', 'Users']",False,False,4.07,1.43,0.25,3631.61,23288,1.39,2.82,,0.53,,,,,,0.23,2.73,0.25,1.04,,0.31,0.24,,,0.29,0.38,,0.24,,,,,,0.23,,,0.24,,0.4,0.4,,,,0.29,,,,
Futoku no Guild,63,不徳のギルド,Futoku no Guild,nan,#futoku_anime,Fall 2022,440,16093,"Action, Comedy, Ecchi, Fantasy","Nudity, 77%, Slapstick, 73%, Female Harem, 69%, Male Protagonist, 69%, Primarily Female Cast, 65%, Heterosexual, 64%, Ensemble Cast, 60%, Rural, 60%, Anachronism, 60%, Kemonomimi, 57%, Magic, 56%, Primarily Teen Cast, 53%, Shounen, 48%, Fitness, 45%, Elf, 45%, Archery, 40%, Martial Arts, 32%, Food, 30%, Butler, 23%, Maids, 23%, Demons, 13%, Show 1 spoiler tags","['Planning', '5564', 'Users', 'Completed', '5124', 'Users', 'Current', '3901', 'Users', 'Dropped', '1210', 'Users']",False,False,4.23,1.09,0.24,2304.23,27720,1.72,3.07,,0.24,2.1,,2.71,2.74,0.29,,,0.27,2.98,,0.23,,,,0.05,,,,,,,0.19,,0.32,,,,,0.54,,0.29,0.25,0.2,,,,,
